*Code,Report Code,*Name,Reporting Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
494,EXP,Travel - International,,Expense,GST Free Expenses,Expenses incurred from international travel which has a business purpose,No,Yes,No,
497,EXP,Bank Revaluations,,Bank Revaluations,BAS Excluded,Bank account revaluations due for foreign exchange rate changes,No,No,No,
498,EXP,Unrealised Currency Gains,,Unrealised Currency Gains,BAS Excluded,Unrealised currency gains on outstanding items,No,No,No,
499,EXP,Realised Currency Gains,,Realised Currency Gains,BAS Excluded,Gains or losses made due to currency exchange rate changes,No,No,No,
500,EXP,Water Rates,,Expense,BAS Excluded,,No,No,No,
505,EXP.INC,Income Tax Expense,,Expense,BAS Excluded,A percentage of total earnings paid to the government.,No,No,No,
525,EXP,Workers Compensation,,Expense,GST on Expenses,,No,No,No,
605,LIA.CUR,Trade Creditors,,Current Liability,BAS Excluded,,No,No,No,
610,ASS.CUR.REC.TRA,Accounts Receivable,,Accounts Receivable,BAS Excluded,Outstanding invoices the company has issued out to the client but has not yet received in cash at balance date.,No,No,No,
611,ASS.CUR.REC,Trade Debtors Clearing Account,,Current Asset,GST on Income,,No,No,No,
612,ASS.CUR.REC,Other Debtors,,Current Asset,BAS Excluded,,No,No,No,
614,ASS.CUR.CAS,Cash on Hand,,Current Asset,BAS Excluded,,No,No,No,
615,ASS,Loan – Ernesto Adithya 2025,,Current Asset,BAS Excluded,,No,No,No,
618,ASS.CUR.CAS,Cheque Account,,Bank,BAS Excluded,,No,No,No,
619,ASS.CUR.CAS,Macquarie Offset Account,,Current Asset,BAS Excluded,,No,No,No,
620,ASS.CUR.REC.PRE,Prepayments,,Current Asset,BAS Excluded,An expenditure that has been paid for in advance.,No,No,No,
630,ASS.CUR.INY,Inventory,,Inventory,BAS Excluded,Value of tracked items for resale.,No,No,No,
631,ASS.CUR.INY,Stock on Hand,,Current Asset,BAS Excluded,,No,No,No,
639,ASS.CUR.REC,Loan - Stephane & Florence Motte.,Loan - Stephane & Florence Motte,Current Asset,BAS Excluded,,No,No,No,
710,ASS.NCA.FIX.PLA,Office Equipment,,Fixed Asset,GST on Expenses,Office equipment that is owned and controlled by the business,No,Yes,No,
711,ASS.NCA.FIX.PLA.ACC,Less Accumulated Depreciation on Office Equipment,,Fixed Asset,BAS Excluded,The total amount of office equipment cost that has been consumed by the entity (based on the useful life),No,No,No,
720,ASS.NCA.FIX.PLA,Computer Equipment,,Fixed Asset,GST on Expenses,Computer equipment that is owned and controlled by the business,No,Yes,No,
721,ASS.NCA.FIX.PLA.ACC,Less: Accumulated Depreciation on Computer Equipment,,Fixed Asset,BAS Excluded,The total amount of computer equipment cost that has been consumed by the business (based on the useful life),No,No,No,
730,ASS.NCA.FIX.PLA,Plant & Equipment,,Fixed Asset,GST on Expenses,,No,No,No,
731,ASS.NCA.FIX.PLA.ACC,Less: Accumulated Depreciation on Plant and Equipment,Less: Accumulated Depreciation on Plant and Equipment,Fixed Asset,GST on Expenses,,No,No,No,
744,ASS.NCA.INT,Formation Expenses,,Non-Current Asset,BAS Excluded,,No,No,No,
745,ASS.NCA.INT.AMO,Less : Accumulated Amortisation,Less: Accumulated Amortisation on Formation Expenses,Non-Current Asset,BAS Excluded,,No,No,No,
750,ASS.NCA,Loan - Tipping Point Pty Ltd,,Non-Current Asset,BAS Excluded,,No,No,No,
760,ASS.NCA,Rental Bond,,Non-Current Asset,BAS Excluded,,No,No,No,
800,LIA.CUR.PAY.TRA,Accounts Payable,,Accounts Payable,BAS Excluded,Outstanding invoices the company has received from suppliers but has not yet paid at balance date,No,No,No,
801,LIA.CUR.PAY.EMP,Unpaid Expense Claims,,Unpaid Expense Claims,BAS Excluded,Expense claims typically made by employees/shareholder employees still outstanding.,No,No,No,
804,LIA.CUR.PAY,Wages Payable - Payroll,,Current Liability,BAS Excluded,"Where this account is set as the nominated Wages Payable account within Payroll Settings, Xero allocates the net wage amount of each pay run created using Payroll to this account",No,No,No,
820,LIA.CUR.TAX.GST,GST,,GST,BAS Excluded,"The balance in this account represents GST owing to or from the ATO. At the end of the GST period, it is this account that should be used to code against either the 'refunds from' or 'payments to' the ATO that will appear on the bank statement. Xero has been designed to use only one GST account to track GST on income and expenses, so there is no need to add any new GST accounts to Xero.",No,No,No,
822,LIA.CUR.PAY,ATO Payments,,Current Liability,BAS Excluded,,No,No,No,
823,LIA.CUR.REL,Loan - Stephane & Florence Motte 2020,,Current Liability,BAS Excluded,,No,No,No,
823 01,LIA.CUR.REL,Loan - Stephane & Florence Motte 2021,,Current Liability,BAS Excluded,,No,No,No,
823 02,LIA.CUR.REL,Loan - Stephane & Florence Motte 2022,,Current Liability,BAS Excluded,,No,No,No,
823 03,LIA.CUR.REL,Loan - Stephane & Florence Motte 2023,,Current Liability,BAS Excluded,,No,No,No,
823 04,LIA.CUR.REL,Loan - Stephane & Florence Motte 2024,,Current Liability,BAS Excluded,,No,No,No,
823 05,ASS,Loan - Stephane & Florence Motte 2025,,Current Asset,BAS Excluded,,No,No,No,
824,LIA.CUR.PAY,Stephane Reimbursements,,Liability,BAS Excluded,,No,Yes,Yes,
825,LIA.CUR.TAX,PAYG Withholding Payable,,Current Liability,BAS Excluded,The amount of PAYE tax that is due to be paid,No,No,No,
826,LIA.CUR.PAY,Superannuation Payable,,Current Liability,BAS Excluded,The amount of superannuation that is due to be paid,No,No,No,
827,LIA.CUR.PAY,Sundry Creditors,Sundry Creditors,Current Liability,BAS Excluded,,No,No,No,
828,LIA,PAYG Installment Payable,,Liability,BAS Excluded,,No,No,No,
830,LIA.CUR.TAX.INC,Income Tax Payable,,Current Liability,BAS Excluded,"The amount of income tax that is due to be paid, also resident withholding tax paid on interest received.",No,No,No,
840,LIA.CUR,Historical Adjustment,,Historical,BAS Excluded,For accountant adjustments,No,No,No,
850,LIA.CUR,Suspense,,Current Liability,BAS Excluded,"An entry that allows an unknown transaction to be entered, so the accounts can still be worked on in balance and the entry can be dealt with later.",No,No,No,
860,LIA.CUR,Rounding,,Rounding,BAS Excluded,An adjustment entry to allow for rounding,No,No,No,
877,LIA.CUR,Tracking Transfers,,Tracking,BAS Excluded,Transfers between tracking categories,No,No,No,
880,LIA.NCL.ADV,Owner A Drawings,,Current Liability,BAS Excluded,Withdrawals by the owners,No,No,Yes,
881,LIA.NCL.ADV,Owner A Funds Introduced,,Current Liability,BAS Excluded,Funds contributed by the owner,No,No,Yes,
900,LIA.NCL.LOA,Loan,,Non-current Liability,BAS Excluded,Money that has been borrowed from a creditor,No,No,No,
910,LIA.NCL.LOA,Loan - NAB,,Non-current Liability,BAS Excluded,,No,No,No,
911,LIA.NCL.LOA,Loan - Macquarie,,Non-current Liability,BAS Excluded,,No,No,No,
960,EQU.RET,Retained Earnings,,Retained Earnings,BAS Excluded,Do not Use,No,No,No,
970,EQU.SHA,Issued Capital,,Equity,BAS Excluded,The value of shares purchased by the shareholders,No,No,Yes,
