"STP reporting ABN: 42605912301"

"Reported Date","Effective Date","Branch ID","Event type","Gross payments","PAYGW","Submission ID","BMS ID"
"01/05/2025","24/04/2025","002","Pay","$1,250.00","$255.00","3CE81A3C-B238-4D5B-B324-66C2A9CA87AD","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"24/04/2025","17/04/2025","002","Pay","$2,180.00","$345.00","5CDEA44A-93A6-4BB5-8629-564EFB96252E","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"17/04/2025","10/04/2025","002","Pay","$2,940.00","$572.00","3BA458C1-6380-41B7-A423-2BB09E080B2F","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"11/04/2025","03/04/2025","002","Pay","$2,675.00","$511.00","AE6207AD-853B-42B8-AC40-A8CDD6ACF17B","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"04/04/2025","27/03/2025","002","Pay","$3,280.00","$642.00","B47268C8-8DAD-4984-A4A3-23C94EAECFF2","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"27/03/2025","20/03/2025","002","Pay","$3,845.00","$789.00","65189536-D485-4F6B-B5E1-BC95EBCBCBAD","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"20/03/2025","13/03/2025","002","Pay","$3,810.00","$658.00","4CF1751E-3169-4C96-993A-4BD67777CD4C","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"13/03/2025","06/03/2025","002","Pay","$3,415.00","$675.00","A19333F7-7764-45A5-B312-5A6E5FFA6C53","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"07/03/2025","27/02/2025","002","Pay","$3,900.00","$767.00","BCF8DDD7-8D90-4C05-BF90-318DAC0CF049","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"27/02/2025","20/02/2025","002","Pay","$3,260.00","$638.00","D61B3223-89B0-40E9-9726-0A18C5B97B2D","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"20/02/2025","13/02/2025","002","Pay","$6,225.00","$1,400.00","CEB6C703-1B79-47A0-8A10-2C990098E6FC","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"14/02/2025","06/02/2025","002","Pay","$7,149.40","$1,572.00","B6DDE2DE-3B4C-4279-9561-3431C3DF54D8","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"06/02/2025","30/01/2025","002","Pay","$4,436.00","$1,067.00","E34398AF-628E-4449-BF40-289BE3A2BEC9","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"30/01/2025","23/01/2025","002","Pay","$4,570.00","$1,108.00","1627D017-0BF3-4795-BA04-668BC71C6FA4","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"24/01/2025","16/01/2025","002","Pay","$4,000.00","$1,067.00","A0F9D561-C946-4DD4-92C0-D8CEB440912C","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"16/01/2025","09/01/2025","002","Pay","$4,000.00","$1,067.00","1A63C808-F563-4C1B-9307-DCF7D3CBB897","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"09/01/2025","02/01/2025","002","Pay","$4,000.00","$1,067.00","146A76E1-A754-4C7F-BA60-962C9AB4945F","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"27/12/2024","26/12/2024","002","Pay","$4,000.00","$1,067.00","A77073B7-A37C-4EB7-85C4-9CF556EA0DAD","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"27/12/2024","19/12/2024","002","Pay","$4,000.00","$1,067.00","DF63EFC4-5B5A-444E-A497-6DCFFE452C25","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"17/12/2024","12/12/2024","002","Pay","$4,000.00","$1,067.00","6312E544-EF62-4830-AE71-00CD52137FEE","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"11/12/2024","05/12/2024","002","Pay","$4,000.00","$1,067.00","0A94EF58-84E7-40BB-9863-BBF6959936E0","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"29/11/2024","28/11/2024","002","Pay","$4,000.00","$1,067.00","049AC857-EDDE-4DCF-B551-6322CF9BF406","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"22/11/2024","21/11/2024","002","Pay","$4,000.00","$1,067.00","813CCA1E-2EA2-4850-9107-514D39335F8D","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"15/11/2024","14/11/2024","002","Pay","$4,000.00","$1,067.00","94F17B1A-5B1E-4590-AB78-0C2C79733700","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"10/11/2024","07/11/2024","002","Pay","$4,000.00","$1,067.00","49EE53CD-A336-4695-B2FE-A6989CADE83A","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"31/10/2024","31/10/2024","002","Pay","$4,000.00","$1,067.00","E0552BB9-8D73-495A-A29B-4C5E67A34E55","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"25/10/2024","24/10/2024","002","Pay","$4,000.00","$1,067.00","BC2C81BE-ACC4-4981-BC9F-006F19D1E071","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"21/10/2024","17/10/2024","002","Pay","$4,000.00","$1,067.00","D33A7F8E-429F-4535-8F98-E6448A15F49B","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"14/10/2024","10/10/2024","002","Pay","$4,000.00","$1,067.00","8F8F1DA3-C992-46B2-AC08-6D8774907733","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"04/10/2024","03/10/2024","002","Pay","$4,000.00","$1,067.00","8FF74F16-7498-4242-9879-056E3A518DC0","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"27/09/2024","26/09/2024","002","Pay","$4,000.00","$1,067.00","B435EB13-7E3B-4998-B836-0DD107180C44","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"20/09/2024","19/09/2024","002","Pay","$4,000.00","$1,067.00","B54ADCBD-8192-4B73-91C9-6DE5E8115C2F","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"12/09/2024","12/09/2024","002","Pay","$4,000.00","$955.00","FA3EC186-BA0D-4223-A346-777557421958","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"06/09/2024","05/09/2024","002","Pay","$4,000.00","$955.00","DAA66C46-D18F-41FE-9963-3CAE0F14D686","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"29/08/2024","29/08/2024","002","Pay","$4,000.00","$955.00","80AD7B47-003D-4BB3-ACB3-8C095EEEC1E7","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"23/08/2024","22/08/2024","002","Pay","$4,000.00","$955.00","D979D0E5-D70D-43A4-BA27-847AA50C4F74","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"16/08/2024","15/08/2024","002","Pay","$4,000.00","$955.00","385E5B80-39C1-4133-AF8F-CD2614D21FEF","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"09/08/2024","08/08/2024","002","Pay","$4,000.00","$955.00","6CAB5FAF-E0FF-462C-8A6B-36F39B8AE195","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"02/08/2024","01/08/2024","002","Pay","$3,500.00","$834.00","43AC2208-AD14-42B7-B6A7-C674C8DA5507","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"25/07/2024","25/07/2024","002","Pay","$3,500.00","$834.00","30AF4262-7DEA-42BA-87E9-546F07EA01D1","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"25/07/2024","18/07/2024","002","Pay","$3,500.00","$834.00","CD2C79B7-85B5-456B-B0DD-E66425C64ED6","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"12/07/2024","11/07/2024","002","Pay","$3,500.00","$834.00","E1F34BB5-4C35-468D-AA3C-0AAC28F7F733","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"04/07/2024","04/07/2024","002","Pay","$3,500.00","$834.00","4C10B26C-C871-49F1-B4E2-E37D563C4CA1","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
